origin_location;destination_location;coor_y;coor_x;distance_in_km;vehicle_type;tripfare
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Double Engkel Pickup;1184000
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;CDD Long;1338000
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Fuso Box;2207600
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Small Box;624400
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Pickup;600760
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Engkel Box;842600
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Fuso Bak;1967600
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Tronton Box;2556600
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Tronton Wing Box;2556600
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Engkel Pickup;944000
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Double Engkel Box;1184000
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Tronton Bak;2316600
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Tronton Bak;2316600
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Ekonomi;711040
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;MPV;721040
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Van;793952
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Double Engkel Pickup;1437400
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;CDD Long;1782000
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Fuso Box;2714600
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Small Box;862420
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Pickup;822868
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Engkel Box;1160180
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Fuso Bak;2714600
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Tronton Box;3083800
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Tronton Wing Box;3083800
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Engkel Pickup;1257400
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Double Engkel Box;1437400
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Tronton Bak;3083800
KOTA BANDUNG;KAB. TANGERANG;-6.187;106.4877;196;Tronton Bak;3083800
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Ekonomi;565360
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;MPV;575360
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Van;634988
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Double Engkel Pickup;1256600
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;CDD Long;1413000
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Fuso Box;2331400
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Small Box;683530
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Pickup;657262
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Engkel Box;914870
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Fuso Bak;2091400
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Tronton Box;2684200
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Tronton Wing Box;2684200
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Engkel Pickup;1016600
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Double Engkel Box;1256600
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Tronton Bak;2444200
KOTA BANDUNG;KAB. TASIKMALAYA;-7.6513;108.1429;114;Tronton Bak;2444200
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Ekonomi;1721496
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;MPV;1731496
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Van;1914560
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Double Engkel Pickup;2809716
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;CDD Long;3275800
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Fuso Box;5030000
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Small Box;1999188
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Pickup;1930400
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Engkel Box;2531400
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Fuso Bak;5030000
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Tronton Box;5542800
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Tronton Wing Box;5542800
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Engkel Pickup;2465400
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Double Engkel Box;2809716
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Tronton Bak;5542800
KOTA BANDUNG;KAB. TUBAN;-6.385471549;111.8880147;569;Tronton Bak;5542800
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;-6.976031213;107.6184306;19;Ekonomi;96000
